,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
393,2020,2,A,골목상권,1000447,증가로10길,19
394,2020,2,A,골목상권,1000448,증가로20가길,8
395,2020,2,A,골목상권,1000449,증가로23나길,28
396,2020,2,A,골목상권,1000450,증가로6길,6
397,2020,2,A,골목상권,1000451,충정로4길,22
398,2020,2,A,골목상권,1000452,충정로6길,22
399,2020,2,A,골목상권,1000453,통일로11길,12
400,2020,2,A,골목상권,1000454,통일로37길,30
401,2020,2,A,골목상권,1000455,통일로39길,18
402,2020,2,A,골목상권,1000457,홍제내길,8
403,2020,2,A,골목상권,1000458,광성로6길,6
404,2020,2,A,골목상권,1000459,대흥로21길,11
405,2020,2,A,골목상권,1000460,대흥로28길,11
406,2020,2,A,골목상권,1000461,도화4길,5
407,2020,2,A,골목상권,1000462,도화길,14
408,2020,2,A,골목상권,1000463,독막로22길,7
409,2020,2,A,골목상권,1000464,독막로32길,10
410,2020,2,A,골목상권,1000465,독막로8길,2
411,2020,2,A,골목상권,1000466,동교로17길,10
412,2020,2,A,골목상권,1000467,동교로19길,17
413,2020,2,A,골목상권,1000468,동교로25길,16
414,2020,2,A,골목상권,1000469,동교로27길,27
415,2020,2,A,골목상권,1000470,동교로38길,14
416,2020,2,A,골목상권,1000471,마포대로12길,9
417,2020,2,A,골목상권,1000472,마포대로20길,17
418,2020,2,A,골목상권,1000473,마포대로4길,2
419,2020,2,A,골목상권,1000474,만리재옛길,10
420,2020,2,A,골목상권,1000475,망원로11길,8
421,2020,2,A,골목상권,1000476,망원로2길,10
422,2020,2,A,골목상권,1000477,매봉산로2길,7
423,2020,2,A,골목상권,1000478,모래내로7길,8
424,2020,2,A,골목상권,1000479,방울내로9안길,16
425,2020,2,A,골목상권,1000480,백범로16길,14
426,2020,2,A,골목상권,1000481,성미산로11길,17
427,2020,2,A,골목상권,1000482,성미산로1길,9
428,2020,2,A,골목상권,1000483,성미산로32길,7
429,2020,2,A,골목상권,1000484,성산로4길,7
430,2020,2,A,골목상권,1000485,성지3길,2
431,2020,2,A,골목상권,1000486,숭문8길,9
432,2020,2,A,골목상권,1000487,숭문길,8
433,2020,2,A,골목상권,1000488,신촌로12길,19
434,2020,2,A,골목상권,1000489,신촌로28가길,3
435,2020,2,A,골목상권,1000490,신촌로30길,6
436,2020,2,A,골목상권,1000491,양화로11길,7
437,2020,2,A,골목상권,1000492,양화로1길,7
438,2020,2,A,골목상권,1000493,양화진길,15
439,2020,2,A,골목상권,1000494,와우산로29가길,19
440,2020,2,A,골목상권,1000495,와우산로29길,7
441,2020,2,A,골목상권,1000496,와우산로3길,6
442,2020,2,A,골목상권,1000497,월드컵로10길,15
443,2020,2,A,골목상권,1000498,월드컵로11길,17
444,2020,2,A,골목상권,1000499,월드컵로16길,28
445,2020,2,A,골목상권,1000500,월드컵로19길,22
446,2020,2,A,골목상권,1000501,월드컵로25길,13
447,2020,2,A,골목상권,1000502,월드컵로36길,9
448,2020,2,A,골목상권,1000503,월드컵로7길,10
449,2020,2,A,골목상권,1000504,월드컵로8길,17
450,2020,2,A,골목상권,1000505,토정로37길,10
451,2020,2,A,골목상권,1000506,효창원로93길,12
452,2020,2,A,골목상권,1000507,가로공원로58길,4
453,2020,2,A,골목상권,1000508,곰달래로10길,6
454,2020,2,A,골목상권,1000509,곰달래로2길,9
455,2020,2,A,골목상권,1000510,곰달래로3길,13
456,2020,2,A,골목상권,1000511,곰달래로5길,11
457,2020,2,A,골목상권,1000512,남부순환로33길,9
458,2020,2,A,골목상권,1000513,남부순환로40길,14
459,2020,2,A,골목상권,1000514,남부순환로58길,2
460,2020,2,A,골목상권,1000515,남부순환로70길,11
461,2020,2,A,골목상권,1000516,남부순환로79길,12
462,2020,2,A,골목상권,1000517,남부순환로88길,8
463,2020,2,A,골목상권,1000518,목동남로4길,10
464,2020,2,A,골목상권,1000519,목동동로12길,23
465,2020,2,A,골목상권,1000520,목동동로8길,12
466,2020,2,A,골목상권,1000521,목동로19길,16
467,2020,2,A,골목상권,1000522,목동로9길,7
468,2020,2,A,골목상권,1000523,목동중앙남로3가길,12
469,2020,2,A,골목상권,1000524,목동중앙로13나길,4
470,2020,2,A,골목상권,1000525,목동중앙로3길,7
471,2020,2,A,골목상권,1000526,목동중앙본로7길,13
472,2020,2,A,골목상권,1000527,목동중앙북로16길,3
473,2020,2,A,골목상권,1000528,목동중앙북로8길,7
474,2020,2,A,골목상권,1000529,목동중앙서로7길,5
475,2020,2,A,골목상권,1000530,목동중앙서로8가길,6
476,2020,2,A,골목상권,1000531,신목로2길,3
477,2020,2,A,골목상권,1000532,신목로5길,8
478,2020,2,A,골목상권,1000533,신목로6길,22
479,2020,2,A,골목상권,1000534,신월로15길,16
480,2020,2,A,골목상권,1000535,신월로20길,10
481,2020,2,A,골목상권,1000536,오목로23길,6
482,2020,2,A,골목상권,1000537,오목로30길,3
483,2020,2,A,골목상권,1000538,오목로3길,12
484,2020,2,A,골목상권,1000539,오목로5길,20
485,2020,2,A,골목상권,1000540,은행정로5길,14
486,2020,2,A,골목상권,1000541,은행정로7길,10
487,2020,2,A,골목상권,1000542,중앙로25길,5
488,2020,2,A,골목상권,1000543,중앙로32길,11
489,2020,2,A,골목상권,1000544,중앙로36길,11
490,2020,2,A,골목상권,1000545,중앙로45길,20
491,2020,2,A,골목상권,1000546,중앙로47길,1
492,2020,2,A,골목상권,1000547,중앙로51길,9
493,2020,2,A,골목상권,1000548,중앙로55길,7
494,2020,2,A,골목상권,1000549,지양로7길,16
495,2020,2,A,골목상권,1000550,화곡로3길,11
496,2020,2,A,골목상권,1000551,화곡로4길,11
497,2020,2,A,골목상권,1000552,가로공원로76가길,9
498,2020,2,A,골목상권,1000553,가로공원로80길,4
499,2020,2,A,골목상권,1000554,강서로15길,12
500,2020,2,A,골목상권,1000555,강서로17가길,4
